Name,Frequency,Confidence,Primary_Role,Affiliation,Variants,File_Count
Director Silly,1,low,legislator,,,1
Luhan For Line,1,low,legislator,,,1
Dixon Just Said,1,low,legislator,,,1
Pedigree In Opposition,1,low,legislator,,,1
Han And Also,1,low,legislator,,,1
They Put Their,1,low,official,,,1
Quick Second Represent,1,low,official,,,1
These Are New,1,low,official,,,1
From Fire,1,low,official,,,1
Directors Elite,1,low,official,,,1
Dixon Or Actually,1,low,official,,,1
Sally Is Going,1,low,official,,,1
Stlead,1,low,official,,,1
Slowly In Amanda,1,low,official,,,1
Asleep,1,low,official,,,1
Slee Anything,1,low,official,,,1
Sully Said,1,low,unknown,,,1
Sully Deadline Does,1,low,unknown,,,1
Terror In Canada,1,low,unknown,,,1
Represented Pedigree,1,low,unknown,,,1
Sleep Some Sheffield,1,low,expert,,,1
Finance Administration,1,low,public,,,1
Lujan We Basically,1,low,legislator,,,1
Small Those Positions,1,low,legislator,,,1
Small And Program,1,low,legislator,,,1
Small The Only,1,low,legislator,,,1
Lujan Just One,1,low,legislator,,,1
Resident Licenses Eleven,1,low,legislator,,,1
Lujan It'Ll,1,low,legislator,,,1
Recent,1,low,legislator,,,1
Neville And Campos,1,low,legislator,,,1
Small In Two,1,low,official,,,1
Thing Just About,1,low,official,,,1
Director Garland,1,low,official,,,1
Terms Small Actually,1,low,official,,,1
Dr Garland,1,low,official,,,1
Like To Restate,1,low,official,,,1
Believe,1,low,official,,,1
Differentiate Between State,1,low,official,,,1
Instead Of Raising,1,low,official,,,1
New Mexico Livestock,1,low,official,,,1
What For Madam,1,low,official,,,1
About To Recreation,1,low,official,,,1
Deborah Aguilar Wrote,1,low,official,,,1
Gi James Ellison,1,low,official,,,1
Positions Into Executive,1,low,official,,,1
House That Hoping,1,low,unknown,,,1
Hannes Has Been,1,low,expert,,,1
Allison The Legislative,1,low,legislator,,,1
Allison The Objections,1,low,legislator,,,1
Hundred Fifty Thousand,1,low,legislator,,,1
Budget Recommendations Not,1,low,legislator,,,1
House How How,1,low,legislator,,,1
Opposition,1,low,legislator,,,1
Whose Debate,1,low,legislator,,,1
Often Are Sort,1,low,legislator,,,1
Hsd Three Forty,1,low,official,,,1
Director The Because,1,low,official,,,1
Introducing,1,low,official,,,1
Mr Jackson Mister,1,low,official,,,1
Mr Ferris,1,low,official,,,1
Member Of Nva,1,low,official,,,1
Then To Us,1,low,official,,,1
Then Acting Director,1,low,official,,,1
Communications Receivers,1,low,official,,,1
Simon Actually Refer,1,low,unknown,,,1
Extravagance Interview Director,1,low,unknown,,,1
Jackson Mister Jackson,1,low,unknown,,,1
Ivory The New,1,low,unknown,,,1
Talent Also,1,low,unknown,,,1
Certifications On Four,1,low,unknown,,,1
Richter Here Who,1,low,unknown,,,1
Mr Richter,1,low,public,,,1
Hernandez For One,1,low,legislator,,,1
Harlem,1,low,legislator,,,1
Munoz Took Our,1,low,official,,,1
Welcome Today,1,low,official,,,1
Amanda Goelll Stevenson,1,low,official,,,1
Pick Lotley,1,low,official,,,1
Eddie Behrens,1,low,official,,,1
Garley,1,low,official,,,1
Pick One,1,low,official,,,1
Neibert Joins Us,1,low,official,,,1
Sanchez And Miss,1,low,unknown,,,1
Ay Barons,1,low,unknown,,,1
Rodriguez And Miss,1,low,unknown,,,1
Sarah Wood,1,low,public,,,1
Molly Monzanares,1,low,lobbyist,"Tierra
Maria was in that position",,1
Duncan And Checking,1,low,legislator,,,1
Director And Acting,1,low,legislator,,,1
Duncan And Fy,1,low,legislator,,,1
Vincent First Spoken,1,low,legislator,,,1
Enterprise Agencies,1,low,legislator,,,1
With The Language,1,low,official,,,1
Sanchez Doo,1,low,official,,,1
Pereras And Drew,1,low,official,,,1
Barreras And Drew,1,low,official,,,1
Mad,1,low,official,,,1
Barreras Has Already,1,low,official,,,1
Breras,1,low,official,,,1
Barreras Was Talking,1,low,official,,,1
Linda Atteno With,1,low,official,,,1
Appropriate,1,low,official,,,1
Mark Hayden,1,low,unknown,,,1
Simon Uh Joseph,1,low,unknown,,,1
Jimenez For His,1,low,unknown,,,1
Hernandez Just Suggested,1,low,expert,,,1
Manny Barreras,1,low,public,,,1
Trujillo Here Five,1,low,legislator,,,1
Ezzell Here Today,1,low,legislator,,,1
Ezzell We'Re,1,low,legislator,,,1
Ezzell Did Stand,1,low,legislator,,,1
Del Cruz Than,1,low,legislator,,,1
Mcqueen Did Fall,1,low,legislator,,,1
Why Why Don,1,low,legislator,,,1
With The Attorney,1,low,legislator,,,1
Montoya And Invite,1,low,legislator,,,1
Garcia Garcia,1,low,legislator,,,1
Garcia See What,1,low,legislator,,,1
Electors Yeah,1,low,legislator,,,1
Garrett Is Already,1,low,legislator,,,1
Aka Please Start,1,low,legislator,,,1
They They'Ll,1,low,legislator,,,1
Allison The Navajo,1,low,legislator,,,1
Allison Santa Fe,1,low,legislator,,,1
Baca Second From,1,low,legislator,,,1
Trujillo At Any,1,low,legislator,,,1
Chatfield This Account,1,low,legislator,,,1
Before The Legislature,1,low,legislator,,,1
Mistretta,1,low,legislator,,,1
Dear They Wish,1,low,legislator,,,1
Chatfield Who Other,1,low,legislator,,,1
Montoya Or Recommend,1,low,legislator,,,1
Our Baby Still,1,low,legislator,,,1
Chatfield Mix,1,low,legislator,,,1
Montoya The Process,1,low,legislator,,,1
Delegated Are Relegated,1,low,legislator,,,1
Montoya So With,1,low,legislator,,,1
Montoya What Happens,1,low,legislator,,,1
Because What What,1,low,legislator,,,1
Garcia So How,1,low,legislator,,,1
Hotmail It Must,1,low,legislator,,,1
Garcia So Our,1,low,legislator,,,1
Trio For Bringing,1,low,legislator,,,1
Sectors,1,low,legislator,,,1
Last Summer,1,low,legislator,,,1
Herndon Please,1,low,legislator,,,1
Heard And Heard,1,low,legislator,,,1
Herndon Absolutely Let,1,low,legislator,,,1
Garrett Next Please,1,low,legislator,,,1
Garrett July One,1,low,legislator,,,1
Back To Less,1,low,legislator,,,1
Same Thing With,1,low,legislator,,,1
But The Concern,1,low,legislator,,,1
Armstrong Mentioned Earlier,1,low,legislator,,,1
Montoya Is Exactly,1,low,legislator,,,1
Awesome Okay Pass,1,low,legislator,,,1
Other Male,1,low,legislator,,,1
Lujan Percent Herndon,1,low,legislator,,,1
Elect Who,1,low,legislator,,,1
Are On Page,1,low,official,,,1
Are You Under,1,low,official,,,1
Then Charter Schools,1,low,official,,,1
Dixon This Amendment,1,low,official,,,1
Madam Regained Member,1,low,official,,,1
Before Three Years,1,low,official,,,1
Any Fiscal Impact,1,low,official,,,1
Because He Just,1,low,official,,,1
Programs He Wanted,1,low,official,,,1
Protective Services Answer,1,low,official,,,1
Certified By Our,1,low,official,,,1
Does Elaborate Briefly,1,low,unknown,,,1
Abbey So Returning,1,low,unknown,,,1
Mr Secretary Sorry,1,low,unknown,,,1
Nathan Birnbaum Behind,1,low,expert,,,1
Failed To Win,1,low,expert,,,1
Hetta,1,low,legislator,,,1
Crowder Another Great,1,low,legislator,,,1
Sarinana And Sweetser,1,low,legislator,,,1
Crowder Mentioned Earlier,1,low,legislator,,,1
Your Short Actually,1,low,legislator,,,1
Lopez Here Please,1,low,legislator,,,1
Campos On Senate,1,low,legislator,,,1
Neville Senate Bill,1,low,legislator,,,1
Bobby Gonzales About,1,low,legislator,,,1
Defer To Staff,1,low,official,,,1
Us Three Forty,1,low,official,,,1
Diane Stroman,1,low,public,,,1
Pere,1,low,legislator,,,1
When The Drilling,1,low,legislator,,,1
Vincent And Represent,1,low,legislator,,,1
Many Billions,1,low,legislator,,,1
Chapkin,1,low,legislator,,,1
Barrigo,1,low,legislator,,,1
Duncan Who Pass,1,low,legislator,,,1
Mcqueen And Mr,1,low,official,,,1
Another Question,1,low,official,,,1
Rehan,1,low,official,,,1
Represent Vincent,1,low,official,,,1
Stewart Is Fair,1,low,official,,,1
Into Law,1,low,official,,,1
Wisner,1,low,unknown,,,1
Speaker Jim,1,low,unknown,,,1
Stewart Can Elaborate,1,low,unknown,,,1
Tribson And Vincent,1,low,unknown,,,1
Jason Brown,1,low,unknown,,,1
Chairs Brown,1,low,unknown,,,1
Cheubson Brown,1,low,unknown,,,1
Cher May Throw,1,low,unknown,,,1
Terrebs And Pereira,1,low,unknown,,,1
Bahadan,1,low,unknown,,,1
Mijarano,1,low,unknown,,,1
Chao Duas,1,low,unknown,,,1
Russell To See,1,low,unknown,,,1
Melissa Bernardine,1,low,public,,,1
Chandler Was House,1,low,legislator,,,1
Those Are Private,1,low,legislator,,,1
They Have Bins,1,low,legislator,,,1
Baca Than Ranking,1,low,legislator,,,1
Primarily Duplicative Maybe,1,low,legislator,,,1
Bachus Comments Mr,1,low,legislator,,,1
Brown And Substances,1,low,legislator,,,1
Sciences Second Second,1,low,legislator,,,1
Mike My Greatest,1,low,legislator,,,1
Hickey It Seems,1,low,legislator,,,1
But This Idea,1,low,legislator,,,1
Not Mine But,1,low,official,,,1
Those Are Ftes,1,low,official,,,1
We'Ve Not,1,low,official,,,1
Just Two More,1,low,official,,,1
Last Year One,1,low,official,,,1
Right Now Plateau,1,low,official,,,1
Are The Co,1,low,official,,,1
Dixon To Present,1,low,official,,,1
Ever So Quickly,1,low,official,,,1
President And Please,1,low,unknown,,,1
Herrera Can Help,1,low,legislator,,,1
Hereta And Great,1,low,legislator,,,1
Luhan At Dup,1,low,legislator,,,1
Herndon Oh Sorry,1,low,legislator,,,1
Vincent Has Been,1,low,legislator,,,1
Sanchez And Rep,1,low,legislator,,,1
Campos Has Been,1,low,legislator,,,1
Compos Being Very,1,low,legislator,,,1
Very Very Grateful,1,low,official,,,1
Piper,1,low,public,,,1
Smartly The One,1,low,legislator,,,1
Dixon My Company,1,low,legislator,,,1
Ted Field What,1,low,legislator,,,1
Herndon So Without,1,low,legislator,,,1
Dixon But After,1,low,legislator,,,1
About Building,1,low,legislator,,,1
Are The Opportunity,1,low,legislator,,,1
Herndon And Especially,1,low,legislator,,,1
Turned In Which,1,low,legislator,,,1
Funded,1,low,legislator,,,1
Chatfield Please All,1,low,legislator,,,1
Chatfield That Continues,1,low,legislator,,,1
Feel We Heard,1,low,legislator,,,1
Met Matt Mr,1,low,legislator,,,1
With The Fact,1,low,legislator,,,1
Garrett Noting With,1,low,legislator,,,1
Bob Out Though,1,low,legislator,,,1
Cap,1,low,legislator,,,1
Chatfield Sang Back,1,low,legislator,,,1
Official Invitations Such,1,low,legislator,,,1
Menendez Committee Helpful,1,low,legislator,,,1
Sanchez Or Sam,1,low,legislator,,,1
Chatfield The Grant,1,low,legislator,,,1
Chatfield To Address,1,low,legislator,,,1
Lujan Yeah,1,low,legislator,,,1
Lujan Again,1,low,legislator,,,1
Garrett So Size,1,low,legislator,,,1
Brown So Again,1,low,legislator,,,1
Baca Mr Cordova,1,low,legislator,,,1
Dixon That Doesn,1,low,legislator,,,1
Montoya Again,1,low,legislator,,,1
Tex And Seconded,1,low,legislator,,,1
They Are Cruz,1,low,legislator,,,1
Captive,1,low,legislator,,,1
Brought Me All,1,low,legislator,,,1
Chatfield Yes Sir,1,low,legislator,,,1
Baca Yes Table,1,low,legislator,,,1
Us That Run,1,low,legislator,,,1
Representatives We'Ve,1,low,official,,,1
Dixon For Discussion,1,low,official,,,1
Because The Amendment,1,low,official,,,1
Answer To Several,1,low,official,,,1
Related Expert What,1,low,official,,,1
After That Sounds,1,low,official,,,1
Dixon The Move,1,low,official,,,1
Raking Over Armstrong,1,low,official,,,1
Mandatory Implementation But,1,low,official,,,1
Madam Mr,1,low,official,,,1
Mr Courtesan,1,low,official,,,1
Sorry So Some,1,low,official,,,1
During The Lesc,1,low,official,,,1
With The Option,1,low,official,,,1
Come Back With,1,low,official,,,1
But We Already,1,low,official,,,1
Mannerisms The Else,1,low,unknown,,,1
Settlement For One,1,low,unknown,,,1
Probably And Totally,1,low,unknown,,,1
Courtesan,1,low,unknown,,,1
Cordoba To Respond,1,low,unknown,,,1
Cordova Is Very,1,low,unknown,,,1
Akram,1,low,expert,,,1
Anjali Tatum Executive,1,low,expert,,,1
Recommend In Several,1,low,expert,,,1
Segura The Dollars,1,low,expert,,,1
Sheila Morello,1,low,public,,,1
Nicolas Cordoba,1,low,public,,,1
Dr Akram,1,low,public,,,1
Dr Anjali Tatum,1,low,public,,,1
Failing,1,low,lobbyist,"Health Security Act
as opposed to this Mr chair",,1
Through Mfa,1,low,legislator,,,1
Enyaornu,1,low,legislator,,,1
Experts In-House,1,low,legislator,,,1
Dixon And Her,1,low,legislator,,,1
Little Ranking Mem,1,low,legislator,,,1
Those Are Really,1,low,legislator,,,1
Little In Opposition,1,low,legislator,,,1
Lujan Really Quickly,1,low,legislator,,,1
Duncan For Du,1,low,legislator,,,1
Lujan For Sort,1,low,legislator,,,1
Scher To Chime,1,low,legislator,,,1
Formed,1,low,official,,,1
Cha And Representatives,1,low,unknown,,,1
Warwe,1,low,unknown,,,1
Shelton To Talk,1,low,unknown,,,1
Rod Black,1,low,unknown,,,1
Chanpresentative Lujan,1,low,unknown,,,1
Rainey To Address,1,low,unknown,,,1
Rainey Could Address,1,low,unknown,,,1
Rainey Mentioned,1,low,unknown,,,1
Pine,1,low,unknown,,,1
Jennifer Rainey,1,low,expert,,,1
Catherine Mc,1,low,public,"New Mexico Black Leadership
Council",,1
Daniel Wewa,1,low,public,,,1
Zach Pavlick,1,low,public,"Center for Biological
Diversity",,1
Rachel Wood,1,low,public,,,1
Guess Sixty Six,1,low,legislator,,,1
Huh Sister Twenty,1,low,legislator,,,1
District Is Getting,1,low,legislator,,,1
Into Iterations Account,1,low,legislator,,,1
Any Further,1,low,official,,,1
Appreciated Everybody Else,1,low,official,,,1
First Bill,1,low,official,,,1
Burciaga And Mr,1,low,unknown,,,1
Dale Hochman Vigil,1,low,public,,,1
Little Jennifer Savara,1,low,legislator,,,1
Pesticides You Test,1,low,legislator,,,1
Down Please,1,low,legislator,,,1
Dall Was Talking,1,low,legislator,,,1
Rohan,1,low,legislator,,,1
Represent Hernandez,1,low,legislator,,,1
Who Was Trying,1,low,official,,,1
Just Say,1,low,official,,,1
Lansing Adams With,1,low,official,,,1
Great Job,1,low,official,,,1
Does Uh How,1,low,official,,,1
Deborah Garcia Griego,1,low,official,,,1
Garcia Grigo,1,low,official,,,1
Gallagher Roberts,1,low,official,,,1
Jeannette Chavez,1,low,official,,,1
Annette Reynolds,1,low,official,,,1
Marie Rimer,1,low,official,,,1
Santiago Chavez,1,low,official,,,1
Barber And Site,1,low,official,,,1
Answered That One,1,low,official,,,1
Cha And Joey,1,low,unknown,,,1
Petty Group,1,low,unknown,,,1
Cherry Have More,1,low,unknown,,,1
Wheeler Was Still,1,low,unknown,,,1
Tapia,1,low,unknown,,,1
Miner Is Going,1,low,expert,,,1
Minor Angel Julisa,1,low,expert,,,1
Noel Montano,1,low,public,,,1
Lansing Adams,1,low,public,,,1
Ed Graves,1,low,lobbyist,CEO of New Mexico Magazine,,1
Cannabis,1,low,lobbyist,"FBI being
involved in it",,1
Does It Create,1,low,legislator,,,1
Actually Having Someone,1,low,legislator,,,1
Optus,1,low,official,,,1
Larry Harun Registered,1,low,official,,,1
Representatives Have Healed,1,low,official,,,1
Sponsors Have Done,1,low,official,,,1
Shaw Back,1,low,unknown,,,1
Shaw,1,low,unknown,,,1
Wheelan,1,low,unknown,,,1
Haram And Look,1,low,unknown,,,1
Salgado,1,low,expert,,,1
Troy Clarke,1,low,lobbyist,"New Mexico Hospital
Association",,1
Conclude,1,low,lobbyist,"Thomas
Whalen",,1
Sweetser In Our,1,low,legislator,,,1
Percent Of Any,1,low,legislator,,,1
Sweetser Officer Try,1,low,legislator,,,1
Chatfield Herndon Garrett,1,low,legislator,,,1
Please Yes Mr,1,low,legislator,,,1
Garcia The Money,1,low,legislator,,,1
Baca So What,1,low,legislator,,,1
Garcia My Fight,1,low,legislator,,,1
Census To Track,1,low,legislator,,,1
One Point After,1,low,legislator,,,1
Million Under Cover,1,low,legislator,,,1
Any Closing Comments,1,low,legislator,,,1
Real Quick These,1,low,official,,,1
Permission To Treat,1,low,official,,,1
Gonna Be Two,1,low,official,,,1
Are Are Getting,1,low,official,,,1
Just So People,1,low,official,,,1
Dixon Is Monitoring,1,low,official,,,1
Fix The Infrastructure,1,low,official,,,1
Speaker And Pan,1,low,unknown,,,1
Brown Percent,1,low,legislator,,,1
Through The Twelve,1,low,legislator,,,1
Pettigrew Ring Member,1,low,legislator,,,1
Armstrong Those Schools,1,low,legislator,,,1
Pettigrew Then Ranking,1,low,legislator,,,1
Lujan And Ruth,1,low,legislator,,,1
Pettigrew That Doesn,1,low,legislator,,,1
Montoya Is Asking,1,low,legislator,,,1
What Will Look,1,low,legislator,,,1
Lujan Ranking Member,1,low,legislator,,,1
Armstrong To Department,1,low,legislator,,,1
Sarinana Thirty Opposition,1,low,legislator,,,1
Month With,1,low,legislator,,,1
Mind,1,low,legislator,,,1
Run Opposition,1,low,legislator,,,1
Pettigrew Them Access,1,low,legislator,,,1
Pettigrew For Second,1,low,legislator,,,1
Garcia Is Their,1,low,legislator,,,1
These Are Special,1,low,legislator,,,1
Row,1,low,legislator,,,1
With Those Bands,1,low,legislator,,,1
These The Grow,1,low,legislator,,,1
Hey The First,1,low,official,,,1
Saw Work Through,1,low,official,,,1
When You Review,1,low,official,,,1
Additional Guardianship Guardianship,1,low,official,,,1
Under Thirty Crime,1,low,official,,,1
About That Practice,1,low,official,,,1
Generally They Don,1,low,official,,,1
Harm Reduction Through,1,low,official,,,1
Largely Came From,1,low,official,,,1
These Are Just,1,low,official,,,1
Charles One Twelve,1,low,official,,,1
Online To Twelve,1,low,official,,,1
Our Specific Budget,1,low,official,,,1
Mr So Late,1,low,official,,,1
Create That But,1,low,official,,,1
Just To Address,1,low,official,,,1
Does Have Statutory,1,low,official,,,1
Valdez To Start,1,low,unknown,,,1
Valdez In Our,1,low,unknown,,,1
Solely To Walk,1,low,unknown,,,1
Slee For Going,1,low,unknown,,,1
Saly Said Include,1,low,unknown,,,1
Having We'Ll,1,low,unknown,,,1
Creative Again With,1,low,unknown,,,1
Appreciate The Process,1,low,unknown,,,1
Garcia Is Presenting,1,low,legislator,,,1
Sending Anna,1,low,legislator,,,1
Crowder What,1,low,legislator,,,1
But Thirty Six,1,low,legislator,,,1
Joe Scale Into,1,low,legislator,,,1
Castellano Worse Money,1,low,legislator,,,1
Rodriguez Senate Bill,1,low,legislator,,,1
But No Hands,1,low,official,,,1
Find,1,low,official,,,1
Tools Fourteen Point,1,low,official,,,1
Browde Others One,1,low,unknown,,,1
Goff Russell Got,1,low,unknown,,,1
David Archuleta Please,1,low,unknown,,,1
Reso Group Excuse,1,low,unknown,,,1
Gramm We'Re,1,low,unknown,,,1
Marks Of Asia,1,low,unknown,,,1
Savage,1,low,unknown,,,1
It'Ll Just,1,low,legislator,,,1
Allison Says Sound,1,low,legislator,,,1
What What What,1,low,legislator,,,1
Castellano To Approved,1,low,legislator,,,1
Herrera Eros First,1,low,legislator,,,1
Herrera The Second,1,low,legislator,,,1
Herrera Second,1,low,legislator,,,1
Lundstrom Anderson Crowder,1,low,legislator,,,1
One Seventy Nine,1,low,official,,,1
Items,1,low,official,,,1
Sorry Mute Button,1,low,official,,,1
Stands We'Re,1,low,official,,,1
Items Two Hundred,1,low,official,,,1
Item Twenty Two,1,low,official,,,1
Alison Maybe,1,low,official,,,1
Not Too Bad,1,low,official,,,1
Valdez Said Earlier,1,low,unknown,,,1
Anderson The Appropriation,1,low,legislator,,,1
Sweetser Layered Alluded,1,low,legislator,,,1
Are David Abbey,1,low,legislator,,,1
Somebody Share,1,low,legislator,,,1
Crowder The Lfc,1,low,legislator,,,1
Crowder That Wasn,1,low,legislator,,,1
Anderson This Appropriation,1,low,legislator,,,1
Anderson You Still,1,low,legislator,,,1
Anderson Your Hand,1,low,legislator,,,1
When We Present,1,low,official,,,1
Love From Glass,1,low,official,,,1
Six Pages Page,1,low,official,,,1
Item Number,1,low,official,,,1
Fandor Has Any,1,low,official,,,1
Next Page Thirteen,1,low,official,,,1
System Information About,1,low,official,,,1
Right Thanks,1,low,official,,,1
State Didn,1,low,official,,,1
Romero Is Working,1,low,official,,,1
Store Because They,1,low,official,,,1
Johnson Kayla Assume,1,low,unknown,,,1
Says Special Appropriation,1,low,expert,,,1
Saenana,1,low,legislator,,,1
Guerra,1,low,legislator,,,1
Sanchez To Adopt,1,low,legislator,,,1
Garrett Saying,1,low,legislator,,,1
Luhan For Our,1,low,legislator,,,1
Remember Brown,1,low,official,,,1
Saana Director Bri,1,low,official,,,1
Charles And Amanda,1,low,official,,,1
Went Over House,1,low,official,,,1
Joey And Diego,1,low,official,,,1
Serna Gave Us,1,low,official,,,1
With Your Predecessor,1,low,official,,,1
Writing And Director,1,low,official,,,1
Writing To Confirmed,1,low,official,,,1
Soli Will Come,1,low,official,,,1
Preer,1,low,unknown,,,1
Pandey,1,low,legislator,,,1
Vanity,1,low,legislator,,,1
Five Percent Cut,1,low,legislator,,,1
Crowder Isn,1,low,legislator,,,1
Small Second From,1,low,legislator,,,1
Brown And Madam,1,low,legislator,,,1
Custer,1,low,legislator,,,1
Small The Madam,1,low,legislator,,,1
Promised Question,1,low,legislator,,,1
Crowder This Problem,1,low,legislator,,,1
Crowder We Tried,1,low,legislator,,,1
Crowder No Effective,1,low,legislator,,,1
Industries That Came,1,low,legislator,,,1
Crowder Was Talking,1,low,legislator,,,1
Crowder Was Speaking,1,low,legislator,,,1
Re Has Bill,1,low,legislator,,,1
Sweetser Raising Her,1,low,legislator,,,1
After Trial Reports,1,low,legislator,,,1
Mr Moyer Mister,1,low,official,,,1
But It Looks,1,low,official,,,1
Represents We Sir,1,low,official,,,1
Our Large Reversion,1,low,official,,,1
Request The Money,1,low,official,,,1
Moyer,1,low,unknown,,,1
Moyer Mister Chief,1,low,unknown,,,1
After Answers,1,low,unknown,,,1
Clear The Public,1,low,unknown,,,1
Clear You'Ve,1,low,unknown,,,1
Green Hair,1,low,unknown,,,1
Qualifications Are Required,1,low,unknown,,,1
Back And All,1,low,expert,,,1
Brenda Costello,1,low,public,,,1
Pico,1,low,public,,,1
We'Re Putting,1,low,legislator,,,1
Garrett Has Question,1,low,legislator,,,1
Sorry Not Sorry,1,low,legislator,,,1
Pasta,1,low,legislator,,,1
Brown You Wanted,1,low,legislator,,,1
Garcia To Bring,1,low,legislator,,,1
Daylight Cruz Than,1,low,legislator,,,1
Leukocytes,1,low,legislator,,,1
Garcia Than Montoya,1,low,legislator,,,1
Garcia The One,1,low,legislator,,,1
Two Items First,1,low,legislator,,,1
Similar To House,1,low,legislator,,,1
Over The Phone,1,low,legislator,,,1
Trujillo Can Assist,1,low,legislator,,,1
Montoya Would Make,1,low,legislator,,,1
Garrett Any Objections,1,low,legislator,,,1
Dela Cruz Any,1,low,legislator,,,1
Ferrary Or Thompson,1,low,legislator,,,1
Ferrary Am,1,low,legislator,,,1
Ferrary Really Appreciate,1,low,legislator,,,1
Ferrary For Presenting,1,low,legislator,,,1
Baca Director Anything,1,low,legislator,,,1
Trujillo Yeah,1,low,legislator,,,1
Garcia Act,1,low,legislator,,,1
Heard That Yeah,1,low,legislator,,,1
Begins,1,low,legislator,,,1
Allison Whatever Order,1,low,legislator,,,1
Allison We Want,1,low,legislator,,,1
Allison Experts When,1,low,legislator,,,1
Allison And Ranking,1,low,legislator,,,1
Allison The Extra,1,low,legislator,,,1
Allison And Experts,1,low,legislator,,,1
Steinborn What Wanted,1,low,legislator,,,1
Steinborn You Guys,1,low,legislator,,,1
Rodriguez To Trying,1,low,legislator,,,1
Are You Heard,1,low,official,,,1
Bradford Questions Thanks,1,low,official,,,1
Just Clarify Two,1,low,official,,,1
Instead Of Tabling,1,low,official,,,1
Us Section Three,1,low,official,,,1
Are There Pip,1,low,official,,,1
Remembering,1,low,official,,,1
What Is Table,1,low,official,,,1
Choose To Table,1,low,official,,,1
Two Seconds,1,low,official,,,1
Galvis To Speak,1,low,unknown,,,1
Galvis,1,low,unknown,,,1
Sorry The Reason,1,low,unknown,,,1
Mulligan For Running,1,low,unknown,,,1
Hoods,1,low,unknown,,,1
Neal Bowen Director,1,low,expert,,,1
Boeing Was Referring,1,low,expert,,,1
Fegan,1,low,expert,,,1
Rosie Hey,1,low,public,,,1
Corey Feller,1,low,public,,,1
Andrea Fernandes,1,low,public,,,1
Barbara Tetreault,1,low,public,,,1
Lauren Reichelt,1,low,public,,,1
Beth Miller,1,low,public,,,1
Twenty Three Million,1,low,legislator,,,1
General Sanchez Carried,1,low,legislator,,,1
Sanders Plan Who,1,low,legislator,,,1
Small Your Madam,1,low,official,,,1
Uses The Word,1,low,official,,,1
Just All Those,1,low,official,,,1
Browde Just,1,low,unknown,,,1
Crowder To House,1,low,unknown,,,1
Abbey Zoom Page,1,low,unknown,,,1
Abbey Bank Flood,1,low,unknown,,,1
Avid For His,1,low,unknown,,,1
Luhan Present,1,low,legislator,,,1
Verra,1,low,legislator,,,1
Little Du Pass,1,low,legislator,,,1
Mohan Also Noted,1,low,legislator,,,1
Hernandez Noted Pohuaque,1,low,legislator,,,1
Brown Just Said,1,low,legislator,,,1
Petigroup,1,low,legislator,,,1
They Funded Through,1,low,legislator,,,1
Santa Fe Taos,1,low,official,,,1
Calmas,1,low,official,,,1
Alarcon,1,low,unknown,,,1
Valeria Arcon,1,low,public,,,1
Chandler Just One,1,low,legislator,,,1
Ground Then Reverse,1,low,legislator,,,1
Chatfield Them Some,1,low,legislator,,,1
Ortez Everybody Wishes,1,low,legislator,,,1
Montoya Then Ranking,1,low,legislator,,,1
Montoya It Seems,1,low,legislator,,,1
Press Has Been,1,low,legislator,,,1
Candie Sweetser Whose,1,low,legislator,,,1
Chatfield Questions,1,low,legislator,,,1
Degrees Expert Witnesses,1,low,legislator,,,1
Armstrong Sir Any,1,low,legislator,,,1
Townsend Again House,1,low,legislator,,,1
Brown Structure With,1,low,legislator,,,1
Sarinana Has Been,1,low,legislator,,,1
Garrett Any Other,1,low,legislator,,,1
Sierra And Experts,1,low,legislator,,,1
Pettigrew For Question,1,low,legislator,,,1
Then That Goes,1,low,legislator,,,1
Those Funding Mr,1,low,legislator,,,1
Sweetser In Answer,1,low,legislator,,,1
Montoya By Tiered,1,low,legislator,,,1
Traded,1,low,legislator,,,1
Montoya We Don,1,low,legislator,,,1
Figure Are Really,1,low,legislator,,,1
Figueroa And Director,1,low,legislator,,,1
Garrett To Explain,1,low,legislator,,,1
Lujan On Please,1,low,legislator,,,1
Alcon Yes Those,1,low,legislator,,,1
Line Yes Correct,1,low,legislator,,,1
Lujan Workforce Solutions,1,low,legislator,,,1
Turn Please,1,low,legislator,,,1
Herndon This Happened,1,low,legislator,,,1
Thompson Please Whenever,1,low,legislator,,,1
Stated This Bill,1,low,legislator,,,1
Firefighters So With,1,low,legislator,,,1
Met Representatives,1,low,legislator,,,1
Gear Referred From,1,low,legislator,,,1
They Should Every,1,low,legislator,,,1
Serrato Has Been,1,low,legislator,,,1
From The Counties,1,low,legislator,,,1
Our Very First,1,low,official,,,1
Witnesses Testimony,1,low,official,,,1
Small By Richard,1,low,official,,,1
Passing This One,1,low,official,,,1
Said She Stripped,1,low,official,,,1
Dixon Promotion Please,1,low,official,,,1
Obviously We Absolutely,1,low,official,,,1
Than The Goes,1,low,official,,,1
Noted Concerns About,1,low,official,,,1
Then Pta,1,low,official,,,1
Designate General Comes,1,low,official,,,1
State And Attorney,1,low,official,,,1
Loan To Share,1,low,official,,,1
Noted But One,1,low,official,,,1
Bernalillo County Looking,1,low,official,,,1
Those Departments With,1,low,official,,,1
Miss Already Put,1,low,official,,,1
Million Of Funding,1,low,unknown,,,1
Abbey Has Stated,1,low,unknown,,,1
Tomas Salazar,1,low,unknown,,,1
Timmins It How,1,low,unknown,,,1
